"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2024","16,700","16,800","16,800","16,600","99.02K","0.00%"
"30/12/2024","16,700","16,500","16,900","16,500","146.23K","0.00%"
"27/12/2024","16,700","17,000","17,000","16,500","338.24K","-0.60%"
"26/12/2024","16,800","17,200","17,300","16,700","554.64K","-2.33%"
"25/12/2024","17,200","17,400","17,500","17,000","592.93K","0.00%"
"24/12/2024","17,200","17,000","17,700","17,000","824.65K","1.18%"
"23/12/2024","17,000","17,300","17,600","16,900","404.82K","-1.16%"
"20/12/2024","17,200","16,800","17,600","16,700","968.32K","2.38%"
"19/12/2024","16,800","16,100","17,000","15,900","548.97K","3.07%"
"18/12/2024","16,300","16,200","16,400","16,200","129.06K","-0.61%"
"17/12/2024","16,400","16,600","16,600","16,300","225.96K","-0.61%"
"16/12/2024","16,500","16,100","17,000","16,000","685.05K","2.48%"
"13/12/2024","16,100","16,000","16,100","15,900","94.19K","0.00%"
"12/12/2024","16,100","16,200","16,300","15,900","205.01K","-0.62%"
"11/12/2024","16,200","16,600","16,600","16,000","247.23K","-1.22%"
"10/12/2024","16,400","15,800","16,600","15,800","519.91K","3.80%"
"09/12/2024","15,800","15,800","15,900","15,600","141.31K","0.64%"
"06/12/2024","15,700","15,900","16,000","15,700","142.01K","-1.26%"
"05/12/2024","15,900","15,900","16,100","15,900","97.80K","0.00%"
"04/12/2024","15,900","15,700","16,200","15,600","251.51K","1.27%"
"03/12/2024","15,700","15,500","15,800","15,400","112.73K","1.29%"
"02/12/2024","15,500","15,600","15,800","15,500","52.70K","0.00%"
"29/11/2024","15,500","15,400","15,800","15,400","58.50K","0.65%"
"28/11/2024","15,400","15,600","15,700","15,400","74.02K","-0.65%"
"27/11/2024","15,500","15,500","15,700","15,500","37.70K","-0.64%"
"26/11/2024","15,600","15,600","15,800","15,600","43.68K","0.00%"
"25/11/2024","15,600","15,400","15,600","15,400","39.80K","1.30%"
"22/11/2024","15,400","15,600","15,600","15,300","48.61K","-1.28%"
"21/11/2024","15,600","15,600","15,600","15,400","9.30K","0.00%"
"20/11/2024","15,600","15,400","15,600","15,400","39.80K","1.30%"
"19/11/2024","15,400","15,500","15,700","15,300","307.20K","0.00%"
"18/11/2024","15,400","15,200","15,600","15,200","46.00K","-0.65%"
"15/11/2024","15,500","15,800","15,800","15,300","123.90K","-1.90%"
"14/11/2024","15,800","16,000","16,000","15,600","55.01K","-1.25%"
"13/11/2024","16,000","16,100","16,200","15,800","131.34K","-0.62%"
"12/11/2024","16,100","16,200","16,600","16,100","119.16K","-0.62%"
"11/11/2024","16,200","15,600","16,200","15,600","279.76K","3.85%"
"08/11/2024","15,600","15,900","15,900","15,500","32.70K","-1.27%"
"07/11/2024","15,800","15,900","16,000","15,700","60.62K","0.00%"
